sta_code,source,count_correct,count_total,pol_accuracy,weight_correct,weight_total,weight_pol_accuracy
GTS.--.EHZ,con_p,0,1,0.0,0.0,1.0,0.0
KHMB.--.HHZ,con_p,0,1,0.0,0.0,1.0,0.0
ME12.01.BHZ,con_p,0,2,0.0,0.0,2.0,0.0
KCS.--.SHZ,con_p,2,2,100.0,2.0,2.0,100.0
ME08.01.BHZ,con_p,2,2,100.0,2.0,2.0,100.0
ME42.01.BHZ,con_p,2,2,100.0,2.0,2.0,100.0
ME56.01.BHZ,con_p,2,2,100.0,2.0,2.0,100.0
GASB.--.HHZ,con_p,1,1,100.0,1.0,1.0,100.0
GCW.--.EHZ,con_p,1,1,100.0,1.0,1.0,100.0
GHL.--.EHZ,con_p,1,1,100.0,1.0,1.0,100.0
GHM.--.EHZ,con_p,1,1,100.0,1.0,1.0,100.0
JCC.--.HHZ,con_p,1,1,100.0,1.0,1.0,100.0
KBN.--.SHZ,con_p,1,1,100.0,1.0,1.0,100.0
KCPB.--.HHZ,con_p,1,1,100.0,1.0,1.0,100.0
KCR.--.SHZ,con_p,1,1,100.0,1.0,1.0,100.0
KCT.--.HHZ,con_p,1,1,100.0,1.0,1.0,100.0
KFP.--.SHZ,con_p,1,1,100.0,1.0,1.0,100.0
KHBB.--.HHZ,con_p,1,1,100.0,1.0,1.0,100.0
KIP.--.SHZ,con_p,1,1,100.0,1.0,1.0,100.0
KJJ.--.SHZ,con_p,1,1,100.0,1.0,1.0,100.0
KMR.--.HHZ,con_p,1,1,100.0,1.0,1.0,100.0
KOM.--.SHZ,con_p,1,1,100.0,1.0,1.0,100.0
KPP.--.SHZ,con_p,1,1,100.0,1.0,1.0,100.0
KRK.--.SHZ,con_p,1,1,100.0,1.0,1.0,100.0
KRMB.--.HHZ,con_p,1,1,100.0,1.0,1.0,100.0
KRP.--.HHZ,con_p,1,1,100.0,1.0,1.0,100.0
KSM.--.SHZ,con_p,1,1,100.0,1.0,1.0,100.0
LGP.--.SHZ,con_p,1,1,100.0,1.0,1.0,100.0
LPG.--.SHZ,con_p,1,1,100.0,1.0,1.0,100.0
ME04.01.BHZ,con_p,1,1,100.0,1.0,1.0,100.0
ME13.01.BHZ,con_p,1,1,100.0,1.0,1.0,100.0
ME29.01.BHZ,con_p,1,1,100.0,1.0,1.0,100.0
ME30.01.BHZ,con_p,1,1,100.0,1.0,1.0,100.0
ME31.01.BHZ,con_p,1,1,100.0,1.0,1.0,100.0
ME32.01.BHZ,con_p,1,1,100.0,1.0,1.0,100.0
ME33.01.BHZ,con_p,1,1,100.0,1.0,1.0,100.0
ME34.01.BHZ,con_p,1,1,100.0,1.0,1.0,100.0
ME35.01.BHZ,con_p,1,1,100.0,1.0,1.0,100.0
ME36.01.BHZ,con_p,1,1,100.0,1.0,1.0,100.0
ME37.01.BHZ,con_p,1,1,100.0,1.0,1.0,100.0
ME38.01.BHZ,con_p,1,1,100.0,1.0,1.0,100.0
ME39.01.BHZ,con_p,1,1,100.0,1.0,1.0,100.0
ME43.01.BHZ,con_p,1,1,100.0,1.0,1.0,100.0
ME44.01.BHZ,con_p,1,1,100.0,1.0,1.0,100.0
ME45.01.BHZ,con_p,1,1,100.0,1.0,1.0,100.0
ME49.01.BHZ,con_p,1,1,100.0,1.0,1.0,100.0
ME50.01.BHZ,con_p,1,1,100.0,1.0,1.0,100.0
